"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that clicking on a footer link navigates to the correct page and displays the expected header.","3010","Test Footer Links","","Sun Sep 22 13:33:21 MSK 2024","passed","Sun Sep 22 13:33:24 MSK 2024","","UI Tests","",""
"Verifies that clicking on a footer link navigates to the correct page and displays the expected header.","3272","Test Footer Links","","Sun Sep 22 13:33:34 MSK 2024","passed","Sun Sep 22 13:33:38 MSK 2024","","UI Tests","",""
"Verifies that the homepage slider is visible and the next button works to navigate to the next image.","2041","Test Slider Functionality","","Sun Sep 22 13:33:09 MSK 2024","passed","Sun Sep 22 13:33:11 MSK 2024","","UI Tests","",""
"Verifies that clicking on a footer link navigates to the correct page and displays the expected header.","2603","Test Footer Links","","Sun Sep 22 13:33:32 MSK 2024","passed","Sun Sep 22 13:33:34 MSK 2024","","UI Tests","",""
"Verifies that each nested menu item on the homepage navigates to the correct page and displays the correct heading.","2392","Test Nested Menu Item Navigation","","Sun Sep 22 13:32:58 MSK 2024","passed","Sun Sep 22 13:33:00 MSK 2024","","UI Tests","",""
"Verifies that a product can be successfully added to the wishlist and appears in the wishlist page.","5643","Test Adding Product to Wishlist","","Sun Sep 22 13:33:15 MSK 2024","passed","Sun Sep 22 13:33:21 MSK 2024","","UI Tests","",""
"Verifies that a product can be successfully added to the cart and appears in the cart dropdown.","4997","Test Adding Product to Cart","","Sun Sep 22 13:33:04 MSK 2024","passed","Sun Sep 22 13:33:09 MSK 2024","","UI Tests","",""
"Verifies that searching for ""MacBook"" returns relevant products.","4029","Test Product Search","","Sun Sep 22 13:33:00 MSK 2024","passed","Sun Sep 22 13:33:04 MSK 2024","","UI Tests","",""
"Verifies that each nested menu item on the homepage navigates to the correct page and displays the correct heading.","2515","Test Nested Menu Item Navigation","","Sun Sep 22 13:32:55 MSK 2024","passed","Sun Sep 22 13:32:58 MSK 2024","","UI Tests","",""
"Verifies that clicking on a footer link navigates to the correct page and displays the expected header.","4277","Test Footer Links","","Sun Sep 22 13:33:27 MSK 2024","passed","Sun Sep 22 13:33:32 MSK 2024","","UI Tests","",""
"Verifies that each menu item on the homepage navigates to the correct page and displays the correct heading.","11661","Test Menu Item Navigation","","Sun Sep 22 13:32:37 MSK 2024","passed","Sun Sep 22 13:32:49 MSK 2024","","UI Tests","",""
"Verifies that each nested menu item on the homepage navigates to the correct page and displays the correct heading.","3136","Test Nested Menu Item Navigation","","Sun Sep 22 13:32:49 MSK 2024","passed","Sun Sep 22 13:32:52 MSK 2024","","UI Tests","",""
"Verifies that clicking on a footer link navigates to the correct page and displays the expected header.","3142","Test Footer Links","","Sun Sep 22 13:33:24 MSK 2024","passed","Sun Sep 22 13:33:27 MSK 2024","","UI Tests","",""
"Verifies that each nested menu item on the homepage navigates to the correct page and displays the correct heading.","3221","Test Nested Menu Item Navigation","","Sun Sep 22 13:32:52 MSK 2024","passed","Sun Sep 22 13:32:55 MSK 2024","","UI Tests","",""
